Model,Seed,Accuracy,Precision,Recall,F1
CART,4,0.4645,0.3341404358353511,0.6272727272727273,0.43601895734597157
SVM,4,0.473,0.2997967479674797,0.44696969696969696,0.3588807785888078
KNN,4,0.578,0.2766990291262136,0.17272727272727273,0.2126865671641791
CART,40,0.433,0.3125,0.5984848484848485,0.4106029106029106
SVM,40,0.4925,0.32088799192734613,0.4818181818181818,0.38522107813446393
KNN,40,0.592,0.3235294117647059,0.21666666666666667,0.2595281306715064
CART,400,0.537,0.3366093366093366,0.41515151515151516,0.37177747625508817
SVM,400,0.499,0.33001988071570576,0.503030303030303,0.3985594237695078
KNN,400,0.589,0.3062200956937799,0.19393939393939394,0.23747680890538034
