Model,Seed,Accuracy,Precision,Recall,Specificity,F1,Best_Params
CART,4,0.478,0.3171428571428571,0.5045454545454545,0.46492537313432836,0.3894736842105263,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 8, 'min_samples_split': 2}"
SVM,4,0.489,0.31378600823045266,0.4621212121212121,0.5022388059701492,0.3737745098039216,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
KNN,4,0.5775,0.31968810916179335,0.24848484848484848,0.7395522388059701,0.2796248934356351,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
CART,40,0.4335,0.33070866141732286,0.7,0.30223880597014924,0.44919786096256686,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2}"
SVM,40,0.5795,0.3622526636225266,0.3606060606060606,0.6873134328358209,0.36142748671222474,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
KNN,40,0.5805,0.3301707779886148,0.2636363636363636,0.7365671641791045,0.2931760741364785,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
CART,400,0.366,0.32727272727272727,0.8727272727272727,0.11641791044776119,0.47603305785123967,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 16, 'min_samples_split': 2}"
SVM,400,0.499,0.33001988071570576,0.503030303030303,0.49701492537313435,0.3985594237695078,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
KNN,400,0.5865,0.3456561922365989,0.2833333333333333,0.735820895522388,0.31140716069941715,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
